PersonalID	c	r	t
G10691	NAU150	857	882.32	5
G10663	NAU150	943	946.2	7
G10460	NAU150	1008	1004.59	8
G10468	NAU150	1058	1058	9
G11141	NAU153	328	372.95	0
G10910	NAU153	556	541.76	1
G10914	NAU153	713	669.15	2
G11127	NAU153	820	775.58	3
G10676	NAU153	885	863.65	4
G10611	NAU153	952	940.58	5
G10681	NAU153	1016	1012.58	6
G10482	NAU153	1076	1076	9
G10677	NAU154	435	377.01	0
G10965	NAU154	650	556.57	1
G11156	NAU154	825	677.44	2
G11166	NAU154	889	778.24	3
G10695	NAU154	939	858.57	4
G10629	NAU154	973	923.95	5
G10619	NAU154	1013	986.17	6
G11052	NAU154	1069	1041.07	8
G10990	NAU154	1090	1090	9
G10913	NAU155	83	190.96	0
G10912	NAU155	385	318.77	1
G10932	NAU155	419	423.43	2
G11006	NAU155	458	516.59	3
G10675	NAU155	599	593.14	4
G10661	NAU155	680	655.78	5
G11103	NAU155	743	721.17	6
G10483	NAU155	794	774.04	8
G10490	NAU155	824	824	9
G10902	NAU156	273	325.02	0
G10940	NAU156	448	514.79	1
G11175	NAU156	637	651.43	2
G11003	NAU156	742	763.78	3
G11070	NAU156	911	868.36	4
G10659	NAU156	948	952.84	5
G11015	NAU156	1034	1034	8
G10997	NAU157	381	421.11	0
G11171	NAU157	573	604.73	1
G11191	NAU157	727	737.55	2
G11194	NAU157	838	838.53	3
G10614	NAU157	937	927.72	4
G10692	NAU157	1035	999.75	5
G11007	NAU157	1088	1069.23	6
G10406	NAU157	1160	1131.27	8
G11222	NAU157	1184	1184	9
G10976	NAU159	418	310.67	0
G10903	NAU159	546	475.51	1
G11130	NAU159	639	591.48	2
G11150	NAU159	668	686.37	3
G10689	NAU159	775	764.89	4
G10642	NAU159	876	837.7	5
G10688	NAU159	911	899.88	8
G10436	NAU159	959	959	9
G11138	NAU160	433	457.93	0
G11120	NAU160	716	674.95	1
G11202	NAU160	869	833.01	2
G11013	NAU160	958	964.39	3
G10609	NAU160	1100	1077.28	4
G10671	NAU160	1183	1175.21	5
G10669	NAU160	1256	1261.69	8
G11225	NAU160	1340	1340	9
G10970	NAU164	386	398.61	0
G10954	NAU164	506	586.65	1
G11158	NAU164	612	717.27	2
G11034	NAU164	774	826.04	3
G10617	NAU164	863	924.56	4
G10651	NAU164	994	1006.09	5
G11030	NAU164	1079	1079	6
G10000	NCS203	399	457.22	0
G11482	NCS203	541	650.24	1
G11403	NCS203	729	789.89	2
G10389	NCS203	842	903.12	3
G11490	NCS203	949	1000.65	5
G10338	NCS203	1051	1077.86	6
G11491	NCS203	1152	1152	8
G10018	NCS204	398	362.86	0
G10082	NCS204	560	528.67	1
G11417	NCS204	672	654.93	2
G10329	NCS204	755	762.24	3
G11424	NCS204	860	851.81	5
G10373	NCS204	915	927.04	6
G10351	NCS204	985	996.13	7
G11498	NCS204	1033	1059.82	8
G10330	NCS204	1119	1119	9
G10021	NCS212	293	376.29	0
G10014	NCS212	496	596.31	1
G11418	NCS212	734	752.33	2
G11419	NCS212	846	874.07	3
G11487	NCS212	963	980.87	5
G10359	NCS212	1018	1076.09	6
G11460	NCS212	1181	1163.26	7
G11470	NCS212	1237	1237	9
G11361	NCS213	146	293.09	0
G10026	NCS213	319	472.67	1
G11351	NCS213	444	585.13	2
G11370	NCS213	556	675.02	3
G11325	NCS213	682	759.62	5
G11309	NCS213	734	830.21	6
G11311	NCS213	812	892.86	7
G11307	NCS213	955	955	8
G11371	NCS214	134	360.21	0
G11408	NCS214	385	577.11	1
G11352	NCS214	683	720.23	2
G11353	NCS214	933	840.94	5
G11348	NCS214	1001	936.41	6
G11389	NCS214	1015	1035.37	7
G11385	NCS214	1120	1120	8
G11328	NCS233	313	398.66	0
G11411	NCS233	455	593.81	2
G11364	NCS233	651	735.86	5
G11383	NCS233	775	845.33	6
G11312	NCS233	883	937.68	7
G11323	NCS233	979	1020.26	8
