#SampleID	CU	NAU	NCS
T20767	0.52	0.416	0.064
T20501	0.552	0.386	0.062
T21166	0.314	0.526	0.16
T21036	0.254	0.49	0.256
T20327	0.218	0.642	0.14
T20275	0.248	0.584	0.168
T20480	0.234	0.48	0.286
T20297	0.41	0.526	0.064
T20899	0.422	0.46	0.118
T20484	0.352	0.444	0.204
T21338	0.28	0.466	0.254
T20636	0.488	0.422	0.09
T20944	0.32	0.508	0.172
T20754	0.486	0.4	0.114
T20394	0.258	0.648	0.094
T20721	0.4	0.474	0.126
T21299	0.36	0.58	0.06
T20262	0.362	0.434	0.204
T20283	0.322	0.53	0.148
T20627	0.52	0.396	0.084
T20912	0.314	0.592	0.094
T21385	0.27	0.48	0.25
T20580	0.624	0.304	0.072
T20499	0.292	0.492	0.216
T20719	0.454	0.4	0.146
T20651	0.512	0.38	0.108
T21331	0.196	0.57	0.234
T20533	0.48	0.428	0.092
NAUMCON08	0.398	0.434	0.168
T20686	0.414	0.462	0.124
T21181	0.14	0.706	0.154
T21091	0.3	0.394	0.306
T21249	0.232	0.64	0.128
T20891	0.272	0.492	0.236
T21305	0.29	0.552	0.158
T20779	0.424	0.412	0.164
T21146	0.308	0.542	0.15
T20857	0.518	0.38	0.102
T21277	0.34	0.56	0.1
T20083	0.288	0.52	0.192
T20743	0.368	0.468	0.164
T21280	0.238	0.636	0.126
T20818	0.41	0.47	0.12
T21475	0.162	0.538	0.3
T21179	0.184	0.684	0.132
T20261	0.432	0.448	0.12
T20659	0.47	0.444	0.086
T20234	0.362	0.546	0.092
T20871	0.484	0.458	0.058
T20463	0.358	0.488	0.154
T20873	0.446	0.414	0.14
T20973	0.2	0.566	0.234
T20895	0.574	0.326	0.1
T20232	0.428	0.434	0.138
T21188	0.262	0.562	0.176
T21025	0.32	0.494	0.186
T20004	0.202	0.528	0.27
T20383	0.39	0.512	0.098
T21441	0.304	0.492	0.204
T20331	0.382	0.532	0.086
T20729	0.6	0.3	0.1
T20310	0.24	0.59	0.17
T21421	0.326	0.54	0.134
T20847	0.398	0.496	0.106
T20221	0.328	0.488	0.184
T20837	0.482	0.428	0.09
T20903	0.41	0.502	0.088
T21201	0.244	0.59	0.166
T21189	0.462	0.452	0.086
T20964	0.512	0.43	0.058
T21452	0.346	0.422	0.232
T20858	0.386	0.486	0.128
T20918	0.468	0.426	0.106
T21138	0.472	0.458	0.07
T20363	0.236	0.526	0.238
T21064	0.41	0.442	0.148
T20267	0.332	0.542	0.126
T20512	0.536	0.392	0.072
T20299	0.276	0.58	0.144
T20572	0.636	0.33	0.034
T21284	0.308	0.522	0.17
T21159	0.398	0.496	0.106
T21432	0.354	0.416	0.23
T20694	0.424	0.466	0.11
T21194	0.326	0.55	0.124
T21164	0.208	0.674	0.118
T20845	0.5	0.376	0.124
T21011	0.186	0.474	0.34
T20959	0.426	0.492	0.082
T20752	0.452	0.408	0.14
CUMCON04	0.522	0.372	0.106
T20648	0.432	0.45	0.118
T21594	0.464	0.472	0.064
T21357	0.31	0.538	0.152
T20984	0.338	0.568	0.094
T20095	0.22	0.568	0.212
T20246	0.176	0.62	0.204
T20692	0.334	0.542	0.124
T20098	0.26	0.43	0.31
T21289	0.298	0.542	0.16
T20787	0.358	0.508	0.134
T20733	0.512	0.452	0.036
T20235	0.336	0.508	0.156
T20655	0.382	0.46	0.158
T20352	0.57	0.34	0.09
T20485	0.282	0.374	0.344
T20690	0.45	0.452	0.098
T21568	0.51	0.41	0.08
T20940	0.26	0.634	0.106
T20949	0.26	0.492	0.248
T20699	0.494	0.314	0.192
T21043	0.272	0.456	0.272
T20277	0.204	0.602	0.194
T20920	0.332	0.582	0.086
T20977	0.356	0.546	0.098
T20355	0.33	0.564	0.106
T20966	0.386	0.458	0.156
T20574	0.494	0.374	0.132
T20638	0.372	0.496	0.132
T20319	0.22	0.598	0.182
T21320	0.316	0.548	0.136
T21325	0.292	0.582	0.126
T20255	0.382	0.486	0.132
T20439	0.278	0.562	0.16
T20504	0.446	0.46	0.094
T20930	0.284	0.522	0.194
T20074	0.384	0.432	0.184
T20263	0.226	0.576	0.198
T21134	0.322	0.588	0.09
T21585	0.698	0.276	0.026
T21480	0.226	0.516	0.258
T21449	0.374	0.444	0.182
T20792	0.34	0.55	0.11
T21170	0.226	0.652	0.122
T20240	0.394	0.528	0.078
T21227	0.294	0.56	0.146
T21083	0.276	0.458	0.266
T20639	0.392	0.502	0.106
T20293	0.33	0.536	0.134
NAUMCON11	0.532	0.374	0.094
CUMCON03	0.47	0.4	0.13
T20526	0.434	0.448	0.118
T20677	0.342	0.508	0.15
T21235	0.226	0.694	0.08
T21033	0.26	0.556	0.184
T20804	0.412	0.488	0.1
T20669	0.398	0.512	0.09
T20885	0.476	0.398	0.126
T21333	0.312	0.544	0.144
T20902	0.29	0.594	0.116
T21129	0.194	0.668	0.138
T21492	0.27	0.498	0.232
T20836	0.424	0.416	0.16
T21488	0.268	0.504	0.228
T20231	0.304	0.612	0.084
T20935	0.326	0.526	0.148
T21115	0.288	0.584	0.128
T20341	0.254	0.62	0.126
T20893	0.494	0.442	0.064
T21511	0.476	0.344	0.18
T20400	0.304	0.574	0.122
T20414	0.178	0.49	0.332
T20216	0.354	0.512	0.134
T20079	0.382	0.512	0.106
NAUMCON09	0.494	0.4	0.106
T21471	0.298	0.544	0.158
T20801	0.484	0.394	0.122
T20244	0.266	0.654	0.08
T20511	0.41	0.456	0.134
T21120	0.348	0.51	0.142
T21407	0.16	0.46	0.38
T20982	0.324	0.596	0.08
T21030	0.358	0.486	0.156
T20946	0.328	0.516	0.156
T20372	0.26	0.52	0.22
T20624	0.514	0.392	0.094
T21042	0.278	0.416	0.306
T20883	0.538	0.4	0.062
T21309	0.274	0.61	0.116
T20989	0.45	0.47	0.08
T20718	0.476	0.408	0.116
T20898	0.412	0.432	0.156
T20506	0.464	0.436	0.1
T20742	0.498	0.416	0.086
T20467	0.304	0.502	0.194
T20583	0.516	0.392	0.092
T21560	0.54	0.386	0.074
T21417	0.302	0.52	0.178
T20259	0.422	0.504	0.074
T21125	0.258	0.564	0.178
T20999	0.338	0.472	0.19
T20662	0.296	0.532	0.172
T20976	0.426	0.468	0.106
T20952	0.364	0.52	0.116
T21160	0.384	0.452	0.164
T21000	0.418	0.474	0.108
T20757	0.452	0.432	0.116
T21311	0.23	0.598	0.172
T21203	0.396	0.47	0.134
T20510	0.5	0.436	0.064
T20945	0.352	0.502	0.146
T20856	0.38	0.504	0.116
T20556	0.642	0.312	0.046
T21060	0.258	0.452	0.29
T21072	0.354	0.522	0.124
T20680	0.31	0.48	0.21
T20280	0.314	0.536	0.15
T21392	0.276	0.646	0.078
T20747	0.292	0.554	0.154
T20291	0.356	0.58	0.064
T21104	0.334	0.596	0.07
T20440	0.288	0.524	0.188
T20786	0.516	0.364	0.12
T20278	0.156	0.608	0.236
T20671	0.424	0.386	0.19
T20865	0.522	0.358	0.12
T20312	0.192	0.586	0.222
T21175	0.382	0.524	0.094
T20519	0.546	0.348	0.106
T20225	0.434	0.472	0.094
T21171	0.208	0.666	0.126
T20960	0.348	0.576	0.076
T20687	0.516	0.394	0.09
T21403	0.368	0.454	0.178
T21197	0.448	0.494	0.058
T21049	0.166	0.424	0.41
T20465	0.25	0.468	0.282
T20948	0.36	0.492	0.148
T20313	0.242	0.64	0.118
T21173	0.266	0.556	0.178
T21468	0.234	0.464	0.302
T20265	0.334	0.528	0.138
T20614	0.386	0.466	0.148
T21003	0.32	0.528	0.152
T20276	0.288	0.616	0.096
T20239	0.466	0.446	0.088
T21139	0.408	0.51	0.082
T20834	0.542	0.368	0.09
T21347	0.388	0.512	0.1
T20434	0.392	0.424	0.184
T21310	0.256	0.562	0.182
T20941	0.466	0.43	0.104
T21184	0.27	0.546	0.184
T21264	0.27	0.6	0.13
T20616	0.284	0.49	0.226
T20407	0.364	0.494	0.142
T20298	0.374	0.524	0.102
T20652	0.368	0.502	0.13
T20853	0.526	0.356	0.118
T20497	0.438	0.418	0.144
T21510	0.364	0.482	0.154
T20685	0.48	0.442	0.078
T20919	0.438	0.46	0.102
T21147	0.292	0.514	0.194
T20587	0.5	0.392	0.108
T20520	0.44	0.454	0.106
T20390	0.208	0.662	0.13
T21288	0.268	0.542	0.19
T21443	0.284	0.51	0.206
T20713	0.526	0.388	0.086
T20996	0.252	0.61	0.138
T21512	0.466	0.372	0.162
T21389	0.42	0.48	0.1
T20739	0.514	0.386	0.1
T21113	0.206	0.656	0.138
T21004	0.396	0.466	0.138
T20972	0.448	0.442	0.11
T20379	0.36	0.534	0.106
T20981	0.496	0.414	0.09
T20362	0.39	0.464	0.146
T20852	0.48	0.39	0.13
T20678	0.458	0.422	0.12
T21232	0.448	0.452	0.1
T20835	0.382	0.464	0.154
T20523	0.45	0.498	0.052
T20373	0.266	0.614	0.12
T20284	0.436	0.466	0.098
T20913	0.518	0.4	0.082
T21217	0.314	0.586	0.1
T20452	0.384	0.504	0.112
T20488	0.4	0.448	0.152
T21192	0.418	0.526	0.056
T21271	0.394	0.52	0.086
T20529	0.542	0.404	0.054
T20359	0.354	0.53	0.116
T20696	0.374	0.516	0.11
T20632	0.514	0.36	0.126
T21155	0.47	0.45	0.08
T21103	0.446	0.436	0.118
T21434	0.326	0.548	0.126
T20566	0.46	0.41	0.13
T21359	0.238	0.558	0.204
T20708	0.436	0.452	0.112
T20827	0.51	0.418	0.072
T20560	0.476	0.466	0.058
T20716	0.428	0.458	0.114
T20393	0.398	0.49	0.112
T21045	0.516	0.394	0.09
T21183	0.31	0.518	0.172
T21177	0.304	0.486	0.21
T20237	0.33	0.576	0.094
T20333	0.43	0.514	0.056
T21243	0.256	0.64	0.104
T20597	0.626	0.3	0.074
T21142	0.336	0.548	0.116
T20314	0.256	0.614	0.13
T20838	0.574	0.32	0.106
T20398	0.552	0.368	0.08
T21413	0.268	0.556	0.176
T20252	0.39	0.516	0.094
T20530	0.5	0.422	0.078
T20288	0.294	0.55	0.156
T21068	0.29	0.394	0.316
T20735	0.552	0.332	0.116
T20481	0.56	0.358	0.082
T20997	0.258	0.592	0.15
T21212	0.232	0.618	0.15
T21306	0.328	0.586	0.086
T21408	0.282	0.552	0.166
T21137	0.378	0.532	0.09
T20084	0.362	0.51	0.128
T20487	0.512	0.442	0.046
T21121	0.248	0.574	0.178
T20543	0.578	0.38	0.042
T21196	0.33	0.54	0.13
T20926	0.45	0.43	0.12
T21433	0.21	0.51	0.28
T20581	0.43	0.472	0.098
T21116	0.342	0.568	0.09
T20923	0.35	0.566	0.084
T20305	0.438	0.442	0.12
T20326	0.27	0.608	0.122
T20738	0.408	0.518	0.074
T21267	0.226	0.58	0.194
T20254	0.366	0.478	0.156
T20621	0.316	0.45	0.234
T20528	0.548	0.38	0.072
T20771	0.57	0.366	0.064
T20929	0.348	0.516	0.136
T21397	0.332	0.534	0.134
T20641	0.382	0.514	0.104
T20825	0.5	0.448	0.052
T20217	0.422	0.434	0.144
T21396	0.318	0.55	0.132
T20201	0.438	0.482	0.08
T20910	0.316	0.556	0.128
T20289	0.396	0.47	0.134
T20302	0.146	0.606	0.248
T20563	0.404	0.42	0.176
T20449	0.242	0.574	0.184
T20507	0.482	0.456	0.062
T21250	0.206	0.646	0.148
T20798	0.458	0.404	0.138
T20630	0.562	0.392	0.046
T20761	0.338	0.504	0.158
T20552	0.436	0.478	0.086
T20924	0.474	0.446	0.08
T21020	0.248	0.54	0.212
T20206	0.526	0.416	0.058
T20389	0.338	0.53	0.132
T21028	0.29	0.44	0.27
T20208	0.332	0.5	0.168
T20285	0.38	0.536	0.084
T20905	0.292	0.656	0.052
T20707	0.494	0.412	0.094
T21112	0.518	0.412	0.07
T21287	0.316	0.596	0.088
T21508	0.52	0.408	0.072
T20477	0.248	0.546	0.206
T20316	0.238	0.534	0.228
T20892	0.436	0.438	0.126
T21132	0.37	0.434	0.196
T20442	0.388	0.458	0.154
T20295	0.36	0.54	0.1
T20869	0.438	0.448	0.114
T20975	0.578	0.384	0.038
T20318	0.496	0.412	0.092
T20611	0.49	0.438	0.072
T20540	0.558	0.402	0.04
T20370	0.314	0.504	0.182
T20207	0.228	0.696	0.076
T21527	0.622	0.326	0.052
T21482	0.436	0.436	0.128
T20939	0.4	0.45	0.15
T20815	0.402	0.456	0.142
T21453	0.332	0.504	0.164
T20816	0.578	0.37	0.052
T21420	0.356	0.49	0.154
T20279	0.36	0.55	0.09
T20774	0.608	0.34	0.052
T20831	0.46	0.456	0.084
T21151	0.458	0.428	0.114
T20286	0.37	0.53	0.1
T21081	0.262	0.44	0.298
T20490	0.548	0.338	0.114
T20970	0.416	0.5	0.084
T20979	0.258	0.624	0.118
T20862	0.5	0.444	0.056
T21054	0.25	0.4	0.35
T20364	0.346	0.516	0.138
T20069	0.202	0.636	0.162
T21457	0.358	0.362	0.28
T20740	0.456	0.468	0.076
T20628	0.434	0.462	0.104
T21167	0.326	0.548	0.126
T21156	0.374	0.498	0.128
T20846	0.46	0.462	0.078
T20644	0.538	0.386	0.076
T21200	0.44	0.418	0.142
T21195	0.28	0.636	0.084
T20194	0.404	0.52	0.076
T20502	0.414	0.506	0.08
T20589	0.498	0.388	0.114
T20525	0.45	0.426	0.124
T20746	0.53	0.422	0.048
T20558	0.474	0.364	0.162
T20223	0.244	0.564	0.192
T21019	0.224	0.348	0.428
T21216	0.298	0.584	0.118
T20765b	0.264	0.572	0.164
T21236	0.344	0.542	0.114
T21599	0.516	0.368	0.116
T20588b	0.384	0.504	0.112
T20829	0.55	0.41	0.04
T21272	0.278	0.542	0.18
T20998	0.336	0.536	0.128
T21066	0.382	0.482	0.136
T20245	0.464	0.452	0.084
T20608	0.402	0.484	0.114
T20769	0.496	0.44	0.064
T20684	0.47	0.442	0.088
T21402	0.268	0.62	0.112
T21215	0.4	0.484	0.116
T20922	0.338	0.502	0.16
T20619	0.392	0.528	0.08
T21007	0.266	0.49	0.244
T20565	0.352	0.564	0.084
T21308	0.27	0.552	0.178
T20468	0.198	0.468	0.334
T21354	0.412	0.48	0.108
T20764	0.486	0.44	0.074
T20878	0.354	0.468	0.178
T20087	0.358	0.522	0.12
T20509	0.568	0.366	0.066
T20882	0.364	0.516	0.12
T20649	0.376	0.484	0.14
T21462	0.236	0.42	0.344
T21366	0.314	0.478	0.208
T20066	0.248	0.6	0.152
T20212	0.356	0.538	0.106
T20714	0.332	0.568	0.1
T21484	0.244	0.368	0.388
T20396	0.388	0.538	0.074
T20474	0.32	0.562	0.118
T21448	0.208	0.576	0.216
T20386	0.368	0.556	0.076
T21154	0.402	0.538	0.06
T20592	0.552	0.37	0.078
T20702	0.6	0.338	0.062
T20864	0.434	0.446	0.12
T20554	0.434	0.51	0.056
T20785	0.406	0.444	0.15
T20936	0.334	0.562	0.104
T21038	0.238	0.484	0.278
T20820	0.498	0.432	0.07
T20612	0.39	0.38	0.23
T21296	0.226	0.644	0.13
T20661	0.448	0.458	0.094
T20623	0.462	0.426	0.112
T20233	0.402	0.512	0.086
T20365	0.256	0.66	0.084
T21148	0.236	0.58	0.184
T20258	0.364	0.542	0.094
T20339	0.426	0.456	0.118
T21472	0.636	0.264	0.1
T20978	0.384	0.44	0.176
T20859	0.358	0.508	0.134
T20839	0.42	0.426	0.154
T21565	0.564	0.376	0.06
T20272	0.492	0.432	0.076
T20917	0.244	0.558	0.198
T20942	0.27	0.616	0.114
T20806	0.412	0.486	0.102
T20904	0.45	0.472	0.078
T20710	0.406	0.486	0.108
T21127	0.31	0.534	0.156
T20937	0.37	0.482	0.148
T20211	0.182	0.634	0.184
T20458	0.258	0.562	0.18
T20304	0.226	0.61	0.164
T20361	0.326	0.576	0.098
